Site;Traffic;Road.verge;Verge.width
Skogstibble;158;SP;3,98
Tierp;125;SR;3,1
Rovsättra;267;SR;4,32
Björklinge;247;SP;2,88
Knutby;373;SR;4,5
Strängnäs;372;SP;4,43
Skärplinge;570;SR;3,8
Vänge;562;SP;4,15
Arlanda;829;SR;5,41
Enköping;841;SP;4,29
Skutskär;930;SR;4,31
Rimbo;939;SP;5,19
Hargshamn;1726;SR;4,17
Östhammar;1662;SP;3,55
Häggeby;3312;SR;4,665
Gottröra;3718;SP;4,4
Aspö;5675;SR;5,38
Tosterön;5764;SP;4,07
Sigtuna;6356;SR;5,231
UpplandsVäsby;6168;SP;4,76
